name,description,image,type,latlong
Nike Centre For Art And Culture,"The owner, an amazing artist herself and loves the art and sharing it.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/b8/5f/3f/nike-art-gallery.jpg?w=500&h=400&s=1,Art Galleries,"[9.006146763265749, 7.395034944483808]"
Nike Art Gallery,"This place is amazing, we had a nice experience.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/0d/55/45/20170103-160947-largejpg.jpg?w=500&h=-1&s=1,Art Galleries,"[9.006146763265749, 7.395034944483808]"
Lekki Conservation Centre,"Im so glad I went though, did the canopy walk, had fresh coconut... had a beautiful time there.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/88/2e/14/wooden-walkway.jpg?w=500&h=400&s=1,Nature & Wildlife Areas,"[6.441803736638663, 3.5357526852134016]"
Lekki Market,"The market has almost everything..The market is neat,farm produce are fresh and budget friendly.one of the best!...",https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/c6/ff/bb/lekki-market.jpg?w=500&h=-1&s=1,Flea & Street Markets,"[6.434430552429365, 3.505885846625209]"
Olumo Rock,Olumo rock is the main highliht of any visit to Abeokuta Our guide was excellent and our photographer was even better!,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/18/9f/olumo-rock.jpg?w=500&h=400&s=1,Points of Interest & Landmarks,"[7.261076548874618, 3.436759772546767]"
Freedom Park Lagos,"If you are an art lover, visit Freedom park. If you are a historian, visit Freedom park. If you are a photographer...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/88/cc/34/freedom-park-lagos.jpg?w=500&h=400&s=1,Historic Sites • Parks,"[6.449066432950031, 3.396540850322767]"
Park Vega Waterpark,#NAME?,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c3/27/71/blackhole-wave-combo.jpg?w=500&h=400&s=1,Water Parks,"[6.247241791649906, 6.154147152446468]"
Oshodi Art Gallery,"Oshodi Art Gallery is one of the most active gallery,it's a place to be, various creative arts works and activities t...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/7b/a1/66/oshodi-art-gallery.jpg?w=500&h=400&s=1,Art Galleries,"[6.630789863099959, 3.5242824794354983]"
Osun-Osogbo Sacred Grove,The view is beautiful as well as the welcoming monkeys although the pay for the camera is a big turn off for me but it...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/1c/c9/osogbo-sacred-forest.jpg?w=500&h=-1&s=1,Historic Sites,"[7.7557736992044815, 4.55231438129212]"
"Synagogue, Church of all Nations",The staff of the church are very strict and well organised. Our encounter with the man of God Prophet TB Joshua was...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/f9/04/df/synagogue-church-of-all.jpg?w=500&h=-1&s=1,Religious Sites,"[6.547320477177105, 3.272957865941562]"
LUFASI Nature Park,"The further you go into the forest, the more private it becomes. The Lake Nora may be be very popular, but Lake Moses...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/4a/45/35/lekki-urban-forest-and.jpg?w=500&h=400&s=1,Nature & Wildlife Areas,"[6.464849084964695, 3.654567491079128]"
Ikeja City Mall,"Ikeja city mall is very popular for young teen, good for a family time out. I took my kids there for lunch, it tooks us...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/11/a5/bd/p-20160326-155047-1-p.jpg?w=500&h=-1&s=1,Shopping Malls,"[6.614622828919064, 3.358111237106436]"
Tarkwa Bay Beach,"The beach is often cleaned by the locals, and offers a lot of attractions like desert bikes, horse rides, surfing...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/8a/20/72/img-20180331-141830-largejpg.jpg?w=500&h=-1&s=1,Beaches,"[6.400981376191168, 3.3946334336837496]"
"Yemisi Shyllon Museum of Art, Pan-Atlantic University",An exceptional collection of great works by renowned artists spanning decades.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/17/91/8d/caption.jpg?w=500&h=400&s=1,Art Museums,"[6.488184056075773, 3.854908423612299]"
